1;29220002;Vallbona d´Anoia
1;29380001;Vallcebre
1;29430008;Vallgorguina
1;29560009;Vallirana
1;29690004;Vallromanes
1;29750006;Veciana
1;29810007;Vic
1;29940003;Vilada
1;30080001;Viladecavalls
1;30150006;Viladecans
1;30200000;Vilanova del Camí
1;30360009;Vilanova de Sau
1;30410007;Vilobí del Penedès
1;30540003;Vilafranca del Penedès
1;30670005;Vilalba Sasserra
1;30730008;Vilanova i la Geltrú
1;30890004;Viver i Serrateix
1;90190004;Rupit i Pruit
1;90240003;Vilanova del Vallès
1;90300000;Sant Julià de Cerdanyola
1;90450006;Badia del Vallès
1;90580001;Palma de Cervelló (La)
1;99900001;Bellaterra
2;6444;Sant Antoni de Calonge
2;7193;S´Agaró
2;10933;Molina (La)
2;11369;Llofriu
2;14765;Empuriabrava
2;16228;Castell d´Aro
2;17989;Bruguera
2;20814;Estartit
2;100000;Agullana
2;250006;Aiguaviva
2;310007;Albanyà
2;460009;Albons
2;590004;Far d´Empordà (El)
2;620002;Alp
2;780001;Amer
2;840003;Anglès
2;970005;Arbúcies
2;1010007;Argelaguer
2;1180001;Armentera (L´)
2;1230008;Avinyonet de Puigventós
2;1390004;Begur
2;1440003;Vajol (La)
2;1570005;Banyoles
2;1600000;Bàscara
2;1820002;Bellcaire d´Empordà
2;1950006;Besalú
2;2090004;Bescanó
2;2160009;Beuda
2;2210007;Bisbal d´Empordà (La)
2;2370005;Blanes
2;2420002;Bolvir
2;2550006;Bordils
2;2680001;Borrassà
2;2740003;Breda
2;2800000;Brunyola
2;2930008;Boadella i les Escaules
2;3070005;Cabanes
2;3140003;Cabanelles
2;3290004;Cadaqués
2;3350006;Caldes de Malavella
2;3400000;Calonge
2;3530008;Camós
2;3660009;Campdevànol
2;3720002;Campelles
2;3880001;Campllong
2;3910007;Camprodon
2;4050006;Canet d´Adri
2;4120002;Cantallops
2;4270005;Capmany
2;4330008;Queralbs
2;4480001;Cassà de la Selva
2;4640003;Castellfollit de la Roca
2;4700000;Castelló d´Empúries
2;4860009;Platja d´Aro
2;4990004;Celrà
2;5020002;Cervià de Ter
2;5180001;Bellver de Cerdanya
2;5190004;Cistella
2;5240003;Siurana
2;5450006;Colera
2;5580001;Colomers
2;5610007;Cornellà del Terri
2;5770005;Corçà
2;5830008;Crespià
2;6000000;Darnius
2;6170005;Das
2;6220002;Escala (L´)
2;6430008;Espolla
2;6560009;Esponellà
2;6690004;Figueres
2;6750006;Flaçà
2;6810007;Foixà
2;6940003;Fontanals de Cerdanya
2;7080001;Fontanilles
2;7150006;Fontcoberta
2;7360009;Fornells de la Selva
2;7410007;Fortià
2;7540003;Garrigàs
2;7670005;Garrigoles
2;7730008;Garriguella
2;7890004;Ger
2;7920002;Girona
2;8060009;Gombrèn
2;8130008;Gualta
2;8260009;Fogars de la Selva
2;8280001;Guils de Cerdanya
2;8340003;Hostalric
2;8490004;Isòvol
2;8520002;Jafre
2;8650006;Jonquera (La)
2;8710007;Juià
2;8870005;Lladó
